ID,Name,Start Time,Location,Host URL,Time Updated
85, Wee Praise (Westbrook Building),1/08/2017 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-569c8e38-0156-a3099922-00006f7bdemobedework%40mysite.edu_20170108T144500Z,2016-12-14 10:05:33.764074
86, Godly Play (Langford Building),1/08/2017 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-569c8e38-0156-a30b62e2-00006fd0demobedework%40mysite.edu_20170108T144500Z,2016-12-14 10:05:33.764079
87, Youth Sunday School (Westbrook Building),1/08/2017 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-569c8e38-0156-a30e2e9f-00007079demobedework%40mysite.edu_20170108T144500Z,2016-12-14 10:05:33.764084
88, Adult Forum (Westbrook Building),1/08/2017 9:45,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-569c8e38-0156-a306dbfb-00006e86demobedework%40mysite.edu_20170108T144500Z,2016-12-14 10:05:33.764089
89,University Worship,1/08/2017 11:00,Duke Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-5434eacf-0154-350a21e0-00001075demobedework%40mysite.edu_20170108T160000Z,2016-12-14 10:05:33.764095
90,Catholic Mass - Goodson Chapel,1/08/2017 11:00,Goodson Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-4cc8788f-014c-dda97066-00001c66demobedework%40mysite.edu_20170108T160000Z,2016-12-14 10:05:33.764100
91,2017 African Great Lakes Inititative Leadership Institute,1/08/2017 00:01,Kampala Uganda,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-569760a6-0156-c2f41cad-000031e5demobedework%40mysite.edu,2016-12-14 10:05:33.764105
92,Women's Basketball at Florida State,1/08/2017 15:00,Tallahassee  Fla.,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-57dc1ede-0157-dd9729bd-00005697demobedework%40mysite.edu,2016-12-14 10:05:33.764111
93,Choral Evensong,1/08/2017 16:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-568e5692-0156-953746f9-00004e9bdemobedework%40mysite.edu_20170108T210000Z,2016-12-14 10:05:33.764116
94,Something Old & New: Music for Epiphany,1/08/2017 17:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-5640b640-0156-472f1e8b-00004fc1demobedework%40mysite.edu,2016-12-14 10:05:33.764123
